observation_time,place_id,confirmed_count,recovered_count,death_count
2020-01-22 00:00:00 +0000 UTC,1,444,28,17
2020-01-22 00:00:00 +0000 UTC,2,26,0,0
2020-01-22 00:00:00 +0000 UTC,3,5,0,0
2020-01-22 00:00:00 +0000 UTC,4,4,0,0
2020-01-22 00:00:00 +0000 UTC,5,2,0,0
2020-01-22 00:00:00 +0000 UTC,6,1,0,0
2020-01-22 00:00:00 +0000 UTC,7,6,0,0
2020-01-22 00:00:00 +0000 UTC,8,1,0,0
2020-01-22 00:00:00 +0000 UTC,9,2,0,0
2020-01-22 00:00:00 +0000 UTC,10,5,0,0
2020-01-22 00:00:00 +0000 UTC,11,14,0,0
2020-01-22 00:00:00 +0000 UTC,12,9,0,0
2020-01-22 00:00:00 +0000 UTC,13,1,0,0
2020-01-22 00:00:00 +0000 UTC,14,0,0,0
2020-01-22 00:00:00 +0000 UTC,15,0,0,0
2020-01-22 00:00:00 +0000 UTC,16,2,0,0
2020-01-22 00:00:00 +0000 UTC,17,1,0,0
2020-01-22 00:00:00 +0000 UTC,18,1,0,0
2020-01-22 00:00:00 +0000 UTC,19,4,0,0
2020-01-22 00:00:00 +0000 UTC,20,2,0,0
2020-01-22 00:00:00 +0000 UTC,21,1,0,0
2020-01-22 00:00:00 +0000 UTC,22,4,0,0
2020-01-22 00:00:00 +0000 UTC,23,1,0,0
2020-01-22 00:00:00 +0000 UTC,24,0,0,0
2020-01-22 00:00:00 +0000 UTC,25,0,0,0
2020-01-22 00:00:00 +0000 UTC,26,0,0,0
2020-01-22 00:00:00 +0000 UTC,27,1,0,0
2020-01-22 00:00:00 +0000 UTC,28,0,0,0
2020-01-22 00:00:00 +0000 UTC,29,0,0,0
2020-01-22 00:00:00 +0000 UTC,30,2,0,0
2020-01-22 00:00:00 +0000 UTC,31,2,0,0
2020-01-22 00:00:00 +0000 UTC,32,0,0,0
2020-01-22 00:00:00 +0000 UTC,33,1,0,0
2020-01-22 00:00:00 +0000 UTC,34,0,0,0
2020-01-22 00:00:00 +0000 UTC,35,0,0,0
2020-01-22 00:00:00 +0000 UTC,36,0,0,0
2020-01-22 00:00:00 +0000 UTC,37,1,0,0
2020-01-22 00:00:00 +0000 UTC,38,1,0,0
2020-01-22 00:00:00 +0000 UTC,39,0,0,0
2020-01-22 00:00:00 +0000 UTC,40,0,0,0
2020-01-22 00:00:00 +0000 UTC,41,0,0,0
2020-01-22 00:00:00 +0000 UTC,42,0,0,0
2020-01-22 00:00:00 +0000 UTC,43,0,0,0
2020-01-22 00:00:00 +0000 UTC,44,0,0,0
2020-01-22 00:00:00 +0000 UTC,45,0,0,0
2020-01-22 00:00:00 +0000 UTC,46,0,,0
2020-01-22 00:00:00 +0000 UTC,47,0,0,0
2020-01-22 00:00:00 +0000 UTC,48,0,0,0
2020-01-22 00:00:00 +0000 UTC,49,0,0,0
2020-01-22 00:00:00 +0000 UTC,50,0,0,0
2020-01-22 00:00:00 +0000 UTC,54,0,0,0
2020-01-22 00:00:00 +0000 UTC,55,0,0,0
2020-01-22 00:00:00 +0000 UTC,56,0,,0
2020-01-22 00:00:00 +0000 UTC,58,0,0,0
2020-01-22 00:00:00 +0000 UTC,59,0,0,0
2020-01-22 00:00:00 +0000 UTC,60,0,0,0
